tag,stem.tag,sp,quadrat,status.initial,status.2016,dbh
71053,71053,tsugca,712,A,A,2
71054,71054,tsugca,712,A,A,1
71055,71055,tsugca,712,A,O,1.9
71056,71056,tsugca,712,A,D,1.9
71057,71057,tsugca,712,A,D,1
71058,71058,tsugca,712,A,A,30.1
71058,71059,tsugca,712,D,D,6.8
71060,71060,tsugca,712,A,A,29.7
71060,71061,tsugca,712,D,D,15.4
71062,71062,tsugca,712,A,A,2.5
71063,71063,tsugca,712,A,A,2.3
71064,71064,tsugca,712,A,A,1.7
71065,71065,tsugca,712,A,D,17.9
71065,71066,tsugca,712,A,D,7.7
71067,71067,tsugca,712,A,A,31.8
71068,71068,tsugca,712,A,A,45.7
71069,71069,tsugca,712,A,A,1.4
71070,71070,tsugca,712,A,A,2.3
71071,71071,tsugca,711,A,O,1.6
71072,71072,tsugca,712,A,A,28
71072,71073,tsugca,712,D,D,8
71074,71074,tsugca,712,D,D,11.9
71075,71075,tsugca,712,A,A,1.5
71076,71076,tsugca,712,A,A,46.5
71077,71077,tsugca,712,A,A,2.4
71078,71078,tsugca,712,A,A,1.1
71079,71079,tsugca,712,A,A,2.5
71080,71080,tsugca,712,A,A,1.8
71081,71081,tsugca,712,A,A,1.8
71082,71082,tsugca,712,A,A,2.2
71083,71083,tsugca,712,A,A,3.6
71084,71084,tsugca,712,D,D,25.1
71085,71085,tsugca,712,A,A,1.2
71086,71086,tsugca,712,A,A,35.2
71087,71087,tsugca,712,A,A,35.4
71088,71088,tsugca,712,A,A,1
71089,71089,tsugca,712,A,A,1.5
71090,71090,tsugca,712,A,A,1.1
71091,71091,tsugca,712,D,D,16.2
71092,71092,tsugca,712,A,A,45.2
71093,71093,vibual,712,A,A,1.1
71094,71094,tsugca,712,A,A,1.3
71095,71095,tsugca,712,A,A,2.3
71096,71096,tsugca,712,A,A,1
71097,71097,tsugca,712,A,A,1
71098,71098,tsugca,712,A,A,1.4
71099,71099,tsugca,712,A,A,1.4
71100,71100,acerru,712,A,A,27.4
71101,71101,acerru,712,A,A,22.7
71102,71102,tsugca,712,A,A,46.9
71103,71103,tsugca,712,A,A,2.3
71104,71104,tsugca,712,A,D,2.3
71105,71105,tsugca,712,A,A,3.9
71106,71106,tsugca,712,A,A,1.3
71107,71107,tsugca,712,A,D,3.1
71108,71108,tsugca,712,A,A,2.8
71109,71109,tsugca,712,A,A,2.2
71110,71110,tsugca,712,D,D,18.5
71111,71111,tsugca,712,A,A,4
71112,71112,tsugca,712,A,A,1.6
71113,71113,tsugca,712,A,A,26.7
71114,71114,tsugca,712,A,A,2.9
71115,71115,tsugca,712,A,A,1.5
71116,71116,tsugca,712,A,A,1.3
71117,71117,acerru,712,A,A,43.9
71118,71118,tsugca,712,A,A,2.2
71119,71119,tsugca,712,A,A,30.2
71120,71120,tsugca,712,A,A,35.7
71121,71121,tsugca,712,A,A,18
71122,71122,tsugca,712,A,A,1.4
71123,71123,tsugca,712,A,D,1.9
71124,71124,tsugca,712,A,A,3.4
71125,71125,tsugca,712,A,A,1.1
71126,71126,tsugca,712,A,A,44.2
71127,71127,tsugca,712,D,D,9.4
71128,71128,tsugca,712,A,D,13.8
71129,71129,acerru,712,A,A,24.8
71130,71130,tsugca,712,A,A,1.1
71131,71131,tsugca,712,D,D,14.3
71132,71132,vibual,713,A,A,1.7
71133,71133,pinust,713,A,D,26.9
71134,71134,tsugca,713,A,A,44.2
71135,71135,tsugca,713,A,A,1
71136,71136,tsugca,713,A,A,2
71137,71137,tsugca,713,A,A,2.2
71138,71138,tsugca,713,A,A,1.6
71139,71139,tsugca,713,A,A,1.8
71140,71140,pinust,713,A,A,66
71141,71141,tsugca,713,A,A,1
71142,71142,tsugca,713,A,A,46.2
71143,71143,tsugca,713,A,A,1.7
71144,71144,tsugca,713,D,D,5.2
71145,71145,tsugca,713,A,A,2
71146,71146,tsugca,713,A,A,1
71147,71147,tsugca,713,A,A,1.2
71148,71148,tsugca,713,A,A,2.5
71149,71149,tsugca,713,A,A,2.4
71150,71150,tsugca,713,A,D,4.2
71151,71151,tsugca,713,A,A,7
71152,71152,tsugca,713,A,D,3.4
71153,71153,tsugca,713,A,A,23.4
71154,71154,tsugca,713,A,D,1.5
71155,71155,tsugca,713,A,D,1.6
71156,71156,vibual,713,D,A,1.2
71157,71157,tsugca,713,A,A,4.9
71158,71158,tsugca,713,A,A,4.2
71159,71159,tsugca,713,A,A,3.5
71160,71160,tsugca,713,A,A,2.2
71161,71161,tsugca,713,A,A,34
71162,71162,tsugca,713,A,A,2.2
71163,71163,tsugca,713,A,A,2.2
71164,71164,vibual,713,A,A,1
71165,71165,tsugca,713,A,A,49.6
71166,71166,tsugca,713,A,A,2.1
71167,71167,tsugca,713,A,A,1.3
71168,71168,tsugca,713,A,D,2.7
71169,71169,tsugca,713,A,A,1.5
71170,71170,tsugca,713,A,D,26.8
71171,71171,tsugca,713,A,A,1.2
71172,71172,tsugca,713,A,A,1.5
71173,71173,tsugca,713,A,A,1.1
71174,71174,tsugca,713,A,A,44.7
71175,71175,tsugca,713,A,A,33.6
71176,71176,vibual,713,A,A,1
71177,71177,vibual,713,A,A,1.4
71178,71178,vibual,713,A,A,1.4
71179,71179,vibual,713,A,A,1.1
71179,71180,vibual,713,A,A,1
71181,71181,tsugca,713,A,A,1
71182,71182,tsugca,713,A,A,1.9
71183,71183,tsugca,713,A,A,1.4
71184,71184,tsugca,713,A,A,43.3
71185,71185,tsugca,713,D,D,26.9
71186,71186,tsugca,713,D,D,10.4
71187,71187,tsugca,713,A,A,2.9
71188,71188,tsugca,713,A,A,1.8
71189,71189,tsugca,713,D,D,18.1
71190,71190,tsugca,713,A,A,35.1
71191,71191,tsugca,713,A,A,25.9
71191,71192,tsugca,713,A,D,18.1
71193,71193,fagugr,713,A,A,2.2
71194,71194,tsugca,713,A,A,39.3
71195,71195,tsugca,713,D,D,16.7
71196,71196,tsugca,713,D,D,16
71197,71197,tsugca,713,A,A,34.2
71198,71198,tsugca,713,A,A,1.2
71199,71199,tsugca,713,A,A,1.3
71200,71200,tsugca,713,A,A,17.5
71201,71201,fagugr,713,A,A,2.3
71202,71202,fagugr,713,A,A,1.7
71203,71203,tsugca,713,A,A,1.5
71204,71204,tsugca,713,A,A,2.8
71205,71205,tsugca,713,A,A,1.3
71206,71206,pinust,714,D,D,11.8
71207,71207,tsugca,714,A,A,3.4
71208,71208,tsugca,714,A,A,39.5
71209,71209,tsugca,714,A,A,36.1
71210,71210,tsugca,714,A,A,4
71211,71211,tsugca,714,A,A,1
71212,71212,tsugca,714,A,A,1.2
71213,71213,tsugca,714,A,A,1.5
71214,71214,tsugca,714,A,A,2.3
71215,71215,tsugca,714,A,A,1.4
71216,71216,tsugca,714,A,A,1.2
71217,71217,tsugca,714,A,A,1.2
71218,71218,tsugca,714,A,A,55.3
