"","plot","year","treatment","total.vai","h10","h25","h50","h75","h90","skew.vai","kur.vai","max.vai","min.vai","breakpoint","breakpoint.se"
"19",6,2015,"low",7.27556029589484,5.38843094762206,14.3882051589357,38.8879770972891,38.8879770972891,38.8879770972891,1.72023750538983,2.08675218648787,6,0,7.27425969810159,0.000342276662216683
"20",6,2016,"low",7.30680083239951,2.11702295951773,5.99055089200505,12.2578316901804,17.9698934434354,22.1823818622724,0.245050655313626,-1.01613969419644,9,0,5.08948371805578,0.128134210627441
"21",6,2017,"low",7.52696033287795,1.98962362776297,5.83470697821857,12.1060205297332,17.9714541191708,22.0426467511205,0.220478263726716,-0.525335453309091,8,0,4.77833780274374,0.238722321729618
"22",10,2015,"moderate",7.38906212067667,1.83754611330896,5.41827086036019,11.4179926397322,17.5628672099672,19.6633888073349,0.641203144262249,-1.2748129734204,5,0,6.56079457914711,0.066918593699999
"23",10,2016,"moderate",7.3994400800233,2.24412485351492,6.55713021141213,13.2595983312836,21.3008137178932,24.5318014576445,0.961368708677436,-0.241784941172166,3,0,5.93923850164056,0.120003803772979
"24",10,2017,"moderate",7.64085787175881,2.14955681588003,6.42861880525373,12.5514217759326,19.6271095621873,24.0874406880603,0.657501832511533,-0.879641753698872,7,0,6.11483532209867,0.0879531059820124
"25",3,2015,"moderate",7.29695671213425,5.9892233710419,15.842030950404,41.7778107458851,41.7778107458851,41.7778107458851,2.08948129357297,3.1216619731995,8,0,7.28872998605907,0.00348355091761784
"26",3,2016,"moderate",5.00550115480654,2.29191558811854,5.74089709433792,11.9255597477379,18.4433065413987,22.0194596015383,0.505333025707121,-0.968364666079662,8,0,4.18609977788578,0.0664847568058146
"27",3,2017,"moderate",5.49752623200777,2.28272222749675,5.47410003280009,11.4573590073076,17.8876711285316,21.0079307081324,0.469336391483641,-1.00777562549952,8,0,4.59831024135143,0.0685494712591867
"28",2,2015,"low",7.40172311336675,3.84088817876368,17.0710801898554,44.5972575265522,44.5972575265522,44.5972575265522,2.82580746556067,6.98735254014522,6,0,7.37394897259529,0.0124548135497237
"29",2,2016,"low",7.62454916508711,2.23667896810357,6.52151815542681,13.7897305819682,23.1990129531532,24.6170182486178,1.2536509297714,0.187457303157968,6,0,6.47968241586521,0.108799999968626
"30",2,2017,"low",7.83232425235335,2.03684623073566,6.06770798902211,12.7314984032301,17.9980917336025,22.0639151041052,1.39779854533471,0.861017672293042,7,0,6.67207405517744,0.0612304899376125
